title,artist
drivers license,olivia rodrigo
calling my phone,lil tjay & 6lack
wellerman,nathan evans/220kid/billen ted
don't play,anne-marie/ksi/digital farm
without you,kid laroi
the business,tiesto
paradise,meduza ft dermot kennedy
get out my head,shane codd
goosebumps,travis scott & hvme
friday,riton/nightcrawlers/mufasa
anyone,justin bieber
love story (taylor's version),taylor swift
save your tears,weeknd
streets,doja cat
afterglow,ed sheeran
bringing it back,digga d & aj tracey
latest trends,a1 & j1
prisoner,miley cyrus ft dua lipa
money talks,fredo ft dave
good days,sza
your love (9pm),atb/topic/a7s
up,cardi b
commitment issues,central cee
blinding lights,weeknd
we're good,dua lipa
heat waves,glass animals
uk hun,united kingdolls
head & heart,joel corry ft mnek
my head & my heart,ava max
34+35,ariana grande
sweet melody,little mix
levitating,dua lipa
arcade,duncan laurence
whoopty,cj
siberia,headie one ft burna boy
mood,24kgoldn ft iann dior
ready,fredo ft summer walker
love not war (the tampa beat),jason derulo & nuka
cancelled,slowthai ft skepta
best friend,saweetie ft doja cat
you broke me first,tate mcrae
someone you loved,lewis capaldi
believe me,navos
astronaut in the ocean,masked wolf
little bit of love,tom grennan
you're mines still,yung bleu ft drake
dance monkey,tones & i
regardless,raye & rudimental
willow,taylor swift
lemonade,internet money/gunna/toliver
burner on deck,fredo ft pop smoke & young adz
positions,ariana grande
big,rita ora/guetta/imanbek/gunna
mixed emotions,abra cadabra
i miss u,jax jones ft au/ra
midnight sky,miley cyrus
perfect,ed sheeran
be the one,rudimental/morgan/digga d/tike
martin & gina,polo g
cover me in sunshine,pink & willow sage hart
what you know bout love,pop smoke
watermelon sugar,harry styles
loading,central cee
shallow,lady gaga & bradley cooper
no time for tears,nathan dawe & little mix
take you dancing,jason derulo
roses,saint jhn
apricots,bicep
really love,ksi/craig david/digital farm
looking for me,paul woolford & diplo/lomax
terms,slowthai/fike/curry
mazza,slowthai ft asap rocky
see nobody,wes nelson & hardy caprio
mr brightside,killers
before you go,lewis capaldi
goodbye,imanbek & goodboys
higher,clean bandit ft iann dior
rise up,andra day
therefore i am,billie eilish
baby shark,pinkfong
wap,cardi b ft megan thee stallion
skin,sabrina carpenter
train wreck,james arthur
afraid,james hype ft harlee
don't start now,dua lipa
dreams,fleetwood mac
all of me,john legend
say you won't let go,james arthur
lies,mk ft raphaella
ride for me,b young
jumpout,skrapz ft nines
golden,harry styles
your new boyfriend,wilbur soot
all you ever wanted,rag'n'bone man
savage love (laxed - siren beat),jawsh 685 & jason derulo
thinking out loud,ed sheeran
champagne problems,taylor swift
rain on me,lady gaga & ariana grande
diamonds,sam smith
holy,justin bieber ft chance
Drivers License,Olivia Rodrigo
34+35,Ariana Grande
Calling My Phone,Lil Tjay Featuring 6LACK
Blinding Lights,The Weeknd
Up,Cardi B
Save Your Tears,The Weeknd
Mood,24kGoldn Featuring iann dior
Go Crazy,Chris Brown & Young Thug
Levitating,Dua Lipa Featuring DaBaby
Positions,Ariana Grande
Love Story (Taylor's Version),Taylor Swift
What You Know Bout Love,Pop Smoke
Therefore I Am,Billie Eilish
For The Night,Pop Smoke Featuring Lil Baby & DaBaby
Whoopty,CJ
Back In Blood,Pooh Shiesty Featuring Lil Durk
Holy,Justin Bieber Featuring Chance The Rapper
Good Days,SZA
I Hope,Gabby Barrett Featuring Charlie Puth
Better Together,Luke Combs
Dakiti,Bad Bunny & Jhay Cortez
Lonely,Justin Bieber & benny blanco
You Broke Me First.,Tate McRae
You're Mines Still,Yung Bleu Featuring Drake
Willow,Taylor Swift
Body,Megan Thee Stallion
Streets,Doja Cat
Anyone,Justin Bieber
My Ex's Best Friend,Machine Gun Kelly X blackbear
