,songs_names,songs_ids,artists_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Astral Wonder,7En6m2Yg3J1zAq895bxl78,Moon Oceans,0.171,0.143,0,-24.178,1,0.0431,0.952,0.924,0.111,0.0374,72.116
1,Evergreen,633YySlXq6qxSdCLFovXdv,Cooper Sams,0.131,0.086,6,-20.439,1,0.0332,0.993,0.877,0.0794,0.0397,54.749
2,Karlavagnen,7kdnp9XpskkNjGDRlmb8nw,Karlavagnen,0.0916,0.0343,11,-26.745,1,0.0419,0.84,0.762,0.17,0.0424,82.815
3,Montana,0gBjWQIJ9KcdzT26UzkNqn,Isobel Belano,0.338,0.0901,3,-22.303,1,0.0323,0.762,0.699,0.0891,0.115,135.633
4,Electron,0KkNeFOoAKW0NkhaleFeGk,Sisi Row,0.25,0.201,0,-21.141,1,0.0377,0.895,0.969,0.227,0.0663,59.005
5,Forever Still,4ViOd3CXbcjX9Y4P6robx4,Northern Lights,0.202,0.181,4,-21.113,1,0.0346,0.811,0.938,0.102,0.0376,87.996
6,Fading Out,1GG2rqEQi9OyH1pA8A7qGl,Steven Goldmund,0.133,0.0477,8,-26.711,1,0.0502,0.98,0.957,0.104,0.145,68.304
7,Mi Querida Flor,65YJeKP2rTIXKOG34CLvZ5,Momento,0.317,0.188,7,-21.665,1,0.0477,0.95,0.951,0.0691,0.0634,68.39
8,Sueño tranquilo,7vCDAK4DJNr1GHYEG3Ylyp,Pedro Caceres,0.239,0.0237,7,-22.072,1,0.0403,0.983,0.95,0.107,0.0698,140.616
9,Everyday Peace,7CGtdNBijQGEvkZeLU4699,Moira Kent,0.194,0.0795,2,-21.832,1,0.04,0.925,0.898,0.104,0.0378,76.547
10,Sleeping Trees,4LGW9dwnuR8a3G1GWcAubi,John Ocean,0.211,0.252,6,-20.785,0,0.0379,0.946,0.959,0.0769,0.0377,77.372
11,Affinity,0N0nIMZDHHv9vCbo1XfN5a,FANAR,0.286,0.199,0,-17.012,0,0.0377,0.84,0.865,0.0943,0.0952,116.09
12,Ava,25CNrEEJa7OHKUHjirHfqm,William Edessa,0.182,0.128,2,-20.185,1,0.0455,0.995,0.933,0.0911,0.039,84.527
13,Many Worlds,3ZLa3mv9jM0CzuhKMqsOgE,Sureborn,0.0933,0.0833,0,-20.836,1,0.0363,0.981,0.967,0.15,0.0381,86.912
14,Transpiration,3Koh8Xr3jVE6CpvScHeoa0,Carl Borg,0.174,0.119,2,-23.553,0,0.0452,0.985,0.859,0.0766,0.0811,138.048
15,Crystal Caves,7dXXZTESEoAUB316nR7E9T,Franz Emerald,0.178,0.222,9,-20.304,0,0.0381,0.377,0.884,0.119,0.0332,73.397
