,artist,song
0,"Mace, Blanco & Salmo",La Canzone Nostra
1,Gazzelle,Destri
2,"Takagi & Ketra, Marco Mengoni & Frah Quintale",Venere E Marte
3,Gazzelle & Tha Supreme,Coltellata
4,"Sfera Ebbasta, Marracash & Gue Pequeno",Tik Tok
5,Weeknd,Save Your Tears
6,Ernia & Pinguini Tattici Nucleari,Ferma A Guardare
7,Pinguini Tattici Nucleari,Scooby Doo
8,Sangiovanni,Lady
9,Sfera Ebbasta & J Balvin,Baby
10,Ernia,Superclassico
11,Boza,Hecha Pa'Mi
12,Matteo Romano,Concedimi
13,Capo Plaza,Non Fare Cosi
14,"Bloody Vinyl, Slait, Tha Supreme & Mara Sattei, Coez",Altalene
15,Bad Bunny & Jhay Cortez,Dakiti
16,Olivia Rodrigo,Drivers License
17,BoomDaBash,Don't Worry
18,Gazzelle,Belva
19,Rocco Hunt & Ana Mena,A Un Passo Dalla Luna
