,,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,0.512,0.775,1,-4.98,1,0.151,0.162,0.0201,0.0825,0.564,152.132,audio_features,0ge3RApy254QnS4wPfgohK,spotify:track:0ge3RApy254QnS4wPfgohK,https://api.spotify.com/v1/tracks/0ge3RApy254QnS4wPfgohK,https://api.spotify.com/v1/audio-analysis/0ge3RApy254QnS4wPfgohK,174000,5
1,0,0.529,0.981,1,-1.293,1,0.134,0.00217,0.0207,0.495,0.447,155.073,audio_features,52wqMbmCqeTw37jd4zFAWr,spotify:track:52wqMbmCqeTw37jd4zFAWr,https://api.spotify.com/v1/tracks/52wqMbmCqeTw37jd4zFAWr,https://api.spotify.com/v1/audio-analysis/52wqMbmCqeTw37jd4zFAWr,199742,4
2,0,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,audio_features,6zFMeegAMYQo0mt8rXtrli,spotify:track:6zFMeegAMYQo0mt8rXtrli,https://api.spotify.com/v1/tracks/6zFMeegAMYQo0mt8rXtrli,https://api.spotify.com/v1/audio-analysis/6zFMeegAMYQo0mt8rXtrli,154998,4
3,0,0.652,0.973,6,-3.294,1,0.0475,0.000525,0.26,0.339,0.594,125.989,audio_features,7JWphoiRArEz95JRGjI7KA,spotify:track:7JWphoiRArEz95JRGjI7KA,https://api.spotify.com/v1/tracks/7JWphoiRArEz95JRGjI7KA,https://api.spotify.com/v1/audio-analysis/7JWphoiRArEz95JRGjI7KA,196190,4
4,0,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,audio_features,6Ozh9Ok6h4Oi1wUSLtBseN,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/tracks/6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/audio-analysis/6Ozh9Ok6h4Oi1wUSLtBseN,159715,4
5,0,0.859,0.663,1,-4.247,0,0.182,0.0932,3.04e-06,0.251,0.622,154.978,audio_features,5qRhzFjGqvJN9RSQRFV2J2,spotify:track:5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/tracks/5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/audio-analysis/5qRhzFjGqvJN9RSQRFV2J2,164308,4
6,0,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,audio_features,5vGLcdRuSbUhD8ScwsGSdA,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/tracks/5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/audio-analysis/5vGLcdRuSbUhD8ScwsGSdA,123263,4
7,0,0.808,0.752,1,-4.863,0,0.0759,0.0111,0.927,0.0507,0.469,125.005,audio_features,0PJ4RVL5wCeHDO8wHpk3YG,spotify:track:0PJ4RVL5wCeHDO8wHpk3YG,https://api.spotify.com/v1/tracks/0PJ4RVL5wCeHDO8wHpk3YG,https://api.spotify.com/v1/audio-analysis/0PJ4RVL5wCeHDO8wHpk3YG,201120,4
8,0,0.568,0.931,4,-7.077,0,0.0481,0.000422,0.665,0.14,0.042,128.008,audio_features,7Mcbk8CghT5wE6j4WfG2uQ,spotify:track:7Mcbk8CghT5wE6j4WfG2uQ,https://api.spotify.com/v1/tracks/7Mcbk8CghT5wE6j4WfG2uQ,https://api.spotify.com/v1/audio-analysis/7Mcbk8CghT5wE6j4WfG2uQ,352162,4
9,0,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,audio_features,2tnVG71enUj33Ic2nFN6kZ,spotify:track:2tnVG71enUj33Ic2nFN6kZ,https://api.spotify.com/v1/tracks/2tnVG71enUj33Ic2nFN6kZ,https://api.spotify.com/v1/audio-analysis/2tnVG71enUj33Ic2nFN6kZ,157606,4
